,aid,title,url,date,time,length,play,video_review,review,comment,favorites,coin
0,9137695,冰冷解说：“荒竹反击流”单人斗技实况（排名50-20）,http://www.bilibili.com/video/av9137695,2017-03-13,11:17,64:48,23795,881,243,881,239,461
1,9122374,冰冷解说：“荒竹反击流”协同斗技首秀,http://www.bilibili.com/video/av9122374,2017-03-13,10:57,92:58,14183,512,122,512,117,199
2,9109711,【阴阳师】针女荒VS石踞/年兽+万年竹全传记！,http://www.bilibili.com/video/av9109711,2017-03-12,03:41,07:21,96186,822,743,822,986,681
3,9071355,【体验服快报】第005期：荒/万年竹/新版荒川/樱花妖等,http://www.bilibili.com/video/av9071355,2017-03-10,14:21,41:55,56359,3027,846,3027,482,3763
4,9047855,冰冷解说：妇女节特辑！全女式神斗技实况（孟婆、烟烟罗等）,http://www.bilibili.com/video/av9047855,2017-03-09,02:12,70:00,22233,605,149,605,144,295
5,9014983,冰冷解说：阴阳师视频攻略031 椒图反击流之酒吞队,http://www.bilibili.com/video/av9014983,2017-03-07,05:39,109:19,27805,915,308,915,426,567
6,8941842,冰冷解说：阴阳师黑科技005 万箭穿心流,http://www.bilibili.com/video/av8941842,2017-03-03,19:31,60:26,51955,1042,271,1042,451,979
7,8850760,冰冷解说：体验服六星河童斗技首秀o(∩_∩)o,http://www.bilibili.com/video/av8850760,2017-02-26,18:30,71:15,56293,1167,281,1167,230,420
8,8803411,【体验服快报】第004期：河畔童谣副本通关实况,http://www.bilibili.com/video/av8803411,2017-02-24,17:30,54:57,39767,1699,336,1699,206,434
9,8778401,冰冷解说：“三琴余音流”斗技实况教学,http://www.bilibili.com/video/av8778401,2017-02-23,10:44,89:02,45891,1649,429,1649,504,3062
10,8749188,冰冷解说：阴阳师全式神介绍之孟婆,http://www.bilibili.com/video/av8749188,2017-02-21,18:12,16:08,15731,241,250,241,124,247
11,8688869,冰冷解说：阴阳师全式神介绍之雨女,http://www.bilibili.com/video/av8688869,2017-02-18,17:41,20:06,21434,439,309,439,167,344
12,8665552,【体验服快报】第003期：卖御魂/古笼火加强/雨女加强/魅妖加强,http://www.bilibili.com/video/av8665552,2017-02-17,15:24,45:02,51843,1665,379,1665,258,406
13,8648632,【FGO】萌新100抽测试一下血统！,http://www.bilibili.com/video/av8648632,2017-02-16,15:58,07:37,27163,690,591,690,42,149
14,8627224,冰冷解说：阴阳师全式神介绍之雪女,http://www.bilibili.com/video/av8627224,2017-02-15,18:47,31:03,30848,715,531,715,404,411
15,8569924,冰冷解说：阴阳师全式神介绍之妖琴师,http://www.bilibili.com/video/av8569924,2017-02-12,15:32,17:17,36180,795,391,795,676,560
16,8528436,冰冷解说：后手肉控流大战般若速控队（六星管狐+烟烟罗）,http://www.bilibili.com/video/av8528436,2017-02-10,17:26,73:27,52378,1270,335,1270,291,380
17,8450714,冰冷解说：阴阳师全式神介绍之烟烟罗,http://www.bilibili.com/video/av8450714,2017-02-07,03:32,15:23,57122,554,311,554,480,437
18,8325651,冰冷解说：阴阳师视频攻略030 鸡肋御魂变废为宝,http://www.bilibili.com/video/av8325651,2017-02-01,01:12,67:20,110696,3020,1014,3020,4673,2333
19,8164993,冰冷解说：阴阳师全式神介绍之黑童子,http://www.bilibili.com/video/av8164993,2017-01-23,02:35,14:59,80357,1054,443,1054,1092,3489
20,8148063,冰冷解说：阴阳师妖刀之秘籍副本1-10层^_^,http://www.bilibili.com/video/av8148063,2017-01-22,10:28,22:29,57164,1117,625,1117,616,298
21,8127677,【体验服快报】第002期：年兽副本/永久勾玉卡/新皮肤/经验酒壶,http://www.bilibili.com/video/av8127677,2017-01-21,04:36,31:44,47825,1279,381,1279,169,942
22,8111160,【体验服快报】第001期：新版小鹿男/烟烟罗/辉夜姬/孟婆/傀儡师,http://www.bilibili.com/video/av8111160,2017-01-20,12:03,38:44,79891,3297,654,3297,441,1043
23,8056933,【冰冷出品】火姬流反击队斗技实况（全服20名）,http://www.bilibili.com/video/av8056933,2017-01-17,15:10,60:33,48272,1824,233,1824,140,317
24,8049943,冰冷解说：阴阳师视频攻略029 椒图反击流之吸血姬队,http://www.bilibili.com/video/av8049943,2017-01-17,00:15,57:59,46642,1069,408,1069,614,661
25,8032150,冰冷解说：小号&quot;高端&quot;斗技实况！ （1月15日）,http://www.bilibili.com/video/av8032150,2017-01-16,00:37,65:15,23452,437,157,437,47,159
26,7950766,冰冷解说：小号&quot;高端&quot;斗技实况！ （1月10日）,http://www.bilibili.com/video/av7950766,2017-01-11,09:51,69:28,31485,787,221,787,79,227
27,7926624,冰冷解说：周一斗技直冲全服前20实况（1.9中午）,http://www.bilibili.com/video/av7926624,2017-01-09,16:25,65:33,48918,1283,192,1283,157,298
28,7908881,冰冷解说：小号“高端”斗技实况！（1月7日）,http://www.bilibili.com/video/av7908881,2017-01-08,14:20,59:59,23621,699,206,699,99,196
29,7902584,冰冷解说：阴阳师全式神介绍之妖刀姬,http://www.bilibili.com/video/av7902584,2017-01-08,01:30,21:08,74091,1124,673,1124,1009,716
30,7870583,冰冷解说：小号“高端”斗技实况！（1月5日）,http://www.bilibili.com/video/av7870583,2017-01-06,01:15,103:10,28288,1800,309,1800,112,347
31,7864306,冰冷解说：小号“高端”斗技实况！（1月4日）,http://www.bilibili.com/video/av7864306,2017-01-05,17:35,62:17,28860,971,358,971,178,387
32,7863274,冰冷解说：1月5日中午斗技实况 古笼火初登场^_^,http://www.bilibili.com/video/av7863274,2017-01-05,16:29,65:08,35566,1087,170,1087,150,222
33,7821087,冰冷解说：阴阳师视频攻略028 轮入道及其相关知识详解,http://www.bilibili.com/video/av7821087,2017-01-02,16:41,49:27,24746,497,331,497,151,997
34,7751021,冰冷解说：阴阳师全式神介绍之鬼女红叶,http://www.bilibili.com/video/av7751021,2016-12-29,18:18,00:00,108518,1175,900,1175,1644,785
35,7741800,冰冷解说：阴阳师黑科技004 镰鼬反戈一击的妙用,http://www.bilibili.com/video/av7741800,2016-12-28,23:05,16:27,32450,381,204,381,149,456
36,7716062,冰冷解说：阴阳师视频攻略027 浅谈新御魂对后手阵容的影响,http://www.bilibili.com/video/av7716062,2016-12-27,01:54,93:39,36723,1137,334,1137,255,932
37,7665308,冰冷解说：“山兔大暴走”3-10层通关录像（不是时间静止^_^）,http://www.bilibili.com/video/av7665308,2016-12-24,00:58,69:46,76481,1224,619,1224,534,420
38,7650447,冰冷解说：阴阳师视频攻略26 清白叠毒流详解,http://www.bilibili.com/video/av7650447,2016-12-23,01:56,106:29,73697,1246,249,1246,1153,790
39,7621767,冰冷出品：功勋犬斗技立功集锦（无解说、有字幕）,http://www.bilibili.com/video/av7621767,2016-12-21,00:36,11:33,34589,708,379,708,393,1401
40,7601370,冰冷解说：阴阳师全式神介绍之桃花妖,http://www.bilibili.com/video/av7601370,2016-12-19,17:37,15:55,91247,859,676,859,1168,1464
41,7496891,冰冷解说：直播斗技录像【2016.12.10】（P2已更新）,http://www.bilibili.com/video/av7496891,2016-12-12,14:48,93:45,54531,1372,235,1372,224,409
42,7490832,冰冷解说：阴阳师全式神介绍之一目连,http://www.bilibili.com/video/av7490832,2016-12-11,23:30,09:53,61537,624,552,624,814,649
43,7450193,冰冷解说：阴阳师全式神介绍之青行灯,http://www.bilibili.com/video/av7450193,2016-12-09,17:49,10:35,78055,689,534,689,902,658
44,7418500,冰冷解说：直播斗技录像【2016.12.4】,http://www.bilibili.com/video/av7418500,2016-12-07,10:26,63:22,21789,506,123,506,36,177
45,7409707,冰冷解说：直播斗技录像【2016.12.2】,http://www.bilibili.com/video/av7409707,2016-12-06,16:41,60:02,15992,357,119,357,38,143
46,7404143,冰冷解说：阴阳师全式神介绍之吸血姬（更新了P2）,http://www.bilibili.com/video/av7404143,2016-12-06,03:12,10:36,97147,1299,605,1299,1072,1100
