,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,[NEW SEASONAL EVENT] Welcome to Overwatch Uprising!,cpGrY9i8TSA,www.youtube.com/watch?v=cpGrY9i8TSA,PlayOverwatch,2017-04-11 14:10:28,2:05,1288617,33436,627,5381,1
1,Gorillaz App (Trailer),mMsibRR5KMI,www.youtube.com/watch?v=mMsibRR5KMI,Gorillaz,2017-04-11 11:01:03,0:22,871734,36469,669,3488,1
2,Binging with Babish: Tampopo Ramen,GXDQOSbcmv4,www.youtube.com/watch?v=GXDQOSbcmv4,Andrew Rea,2017-04-11 08:49:33,3:48,658707,16919,413,2328,1
3,Attendees chant 'you lie' at U.S. Rep. Joe Wilson during Graniteville town hall,90iPgPgSPi8,www.youtube.com/watch?v=90iPgPgSPi8,The Post and Courier,2017-04-10 22:57:20,0:34,160746,1396,252,948,1
4,United Airlines Passenger Violently Removed From Flight,uz3EDgJu8Zk,www.youtube.com/watch?v=uz3EDgJu8Zk,Wall Street Journal,2017-04-11 09:57:37,0:40,401107,1546,7470,4793,1
5,Orange is the New Black | Season 5 First Look [HD] | Netflix,g3cv82rN-ts,www.youtube.com/watch?v=g3cv82rN-ts,Netflix US & Canada,2017-04-11 10:30:23,1:17,860498,7016,363,1319,1
6,United Airlines passenger apparently dragged off flight after refusing to give up seat,WEw-GjTriIo,www.youtube.com/watch?v=WEw-GjTriIo,ABC News,2017-04-10 20:47:21,2:34,417136,3163,1404,6773,1
7,Fly the friendly skies with a real airline | Emirates Airline,aEevyPse3f8,www.youtube.com/watch?v=aEevyPse3f8,Emirates,2017-04-11 13:13:20,0:35,654343,16502,996,4365,1
8,Honest Trailers - Rogue One: A Star Wars Story,t9-pTStLGGo,www.youtube.com/watch?v=t9-pTStLGGo,Screen Junkies,2017-04-11 13:00:04,6:09,1744185,54895,1687,9930,1
9,Sean Spicer: Hitler didn't use chemical weapons,ZeGM41aktoA,www.youtube.com/watch?v=ZeGM41aktoA,Raw Story,2017-04-11 14:08:55,1:29,236155,1018,2431,4546,1
10,"Steve Bannon ""Just Snapped""",y28vwZSGock,www.youtube.com/watch?v=y28vwZSGock,The Young Turks,2017-04-11 22:00:02,14:24,399054,6983,945,2574,1
11,Sean Spicer's Hitler Comments as HBO's Veep Credits,eqPbVwtw7qQ,www.youtube.com/watch?v=eqPbVwtw7qQ,Dan Ketchum,2017-04-12 00:59:08,1:19,326830,4920,340,923,1
12,DETROIT | Official Trailer,HFeWsDpy9y0,www.youtube.com/watch?v=HFeWsDpy9y0,The Annapurna Channel,2017-04-12 09:00:04,2:25,1683832,8405,1497,4270,1
13,Sean Spicer's Disturbing Hitler Statement,Zi8_j6bAMQQ,www.youtube.com/watch?v=Zi8_j6bAMQQ,Jimmy Kimmel Live,2017-04-12 03:30:00,1:51,316456,3381,382,1171,1
14,TV detective vs tech guy,S73nmMU1LDs,www.youtube.com/watch?v=S73nmMU1LDs,ProZD,2017-04-11 16:10:32,0:12,425448,22739,254,1119,1
15,Shame On You United Airlines,PqBbqjM_pKE,www.youtube.com/watch?v=PqBbqjM_pKE,CaseyNeistat,2017-04-11 15:13:33,9:43,2805171,107256,6378,18512,1
16,SPIKY Sea Creatures!,f-IYeIDr8V4,www.youtube.com/watch?v=f-IYeIDr8V4,Brave Wilderness,2017-04-12 07:00:05,15:47,1437122,40712,771,7228,1
17,Human Nacho Challenge,ue2mO8ALWz0,www.youtube.com/watch?v=ue2mO8ALWz0,Good Mythical Morning,2017-04-12 06:00:07,9:01,763613,26473,1048,5053,1
18,How Logan Should Have Ended,yIl_FiV8V6E,www.youtube.com/watch?v=yIl_FiV8V6E,How It Should Have Ended,2017-04-12 12:00:44,6:43,2121662,106134,19206,21834,1
19,BURGER KING® | Connected Whopper®,U_O54le4__I,www.youtube.com/watch?v=U_O54le4__I,BURGER KING,2017-04-12 11:24:20,0:16,986155,8604,11167,5590,1
20,Major Lazer - Run Up (feat. PARTYNEXTDOOR & Nicki Minaj) (Official Music Video),s616v2pSWDU,www.youtube.com/watch?v=s616v2pSWDU,majorlazer,2017-04-12 12:19:09,3:49,1316769,83439,3371,6640,1
21,How I Made My Own iPhone - in China,leFuF-zoVzA,www.youtube.com/watch?v=leFuF-zoVzA,Strange Parts,2017-04-12 09:58:37,23:49,997581,26981,984,3492,1
22,Trump: Jim Comey saved Hillary Clinton's life,gTnj0My91os,www.youtube.com/watch?v=gTnj0My91os,Fox Business,2017-04-12 08:05:32,3:56,112304,1070,1058,1172,1
23,Can't Get You More Pregnant - blink-182,xosDLSeIkpk,www.youtube.com/watch?v=xosDLSeIkpk,blink-182,2017-04-12 13:10:47,0:35,240954,7248,907,1176,1
24,Transformers: The Last Knight – Trailer (2017) Official – Paramount Pictures,6Vtf0MszgP8,www.youtube.com/watch?v=6Vtf0MszgP8,Transformers: The Last Knight,2017-04-12 09:00:00,2:45,2413399,10432,966,3465,1
25,SNL Host Jimmy Fallon and Harry Styles Snap to It,-_CX5uuJlWA,www.youtube.com/watch?v=-_CX5uuJlWA,Saturday Night Live,2017-04-12 10:42:57,0:56,328051,13764,364,1510,1
26,40 Years of Star Wars Panel | Star Wars Celebration Orlando 2017 (US),YI5QodTtlME,www.youtube.com/watch?v=YI5QodTtlME,Star Wars,2017-04-13 13:04:27,2:04:13,131706,14291,345,377,0
27,Is the European Union Worth It Or Should We End It?,XxutY7ss1v4,www.youtube.com/watch?v=XxutY7ss1v4,Kurzgesagt – In a Nutshell,2017-04-13 08:01:11,7:42,1243914,101323,5414,26718,1
28,TEENS REACT TO THEMSELVES ON KIDS REACT!,_GUo7r4ckQ8,www.youtube.com/watch?v=_GUo7r4ckQ8,FBE,2017-04-12 17:00:03,4:39,777702,32933,442,3609,1
29,TARTE FESTIVAL MAKEUP | Hot or Not,fTuJdX6gK8A,www.youtube.com/watch?v=fTuJdX6gK8A,Tati,2017-04-13 10:00:03,15:20,358852,22203,340,3312,1
30,A Tribute To Carrie Fisher,sE99le5FBrY,www.youtube.com/watch?v=sE99le5FBrY,Star Wars,2017-04-13 12:28:49,4:57,1592708,105709,1616,9730,1
31,Horse Attacks an Alligator   Only in Florida,3zEBRt_fChE,www.youtube.com/watch?v=3zEBRt_fChE,Storyful News,2017-04-12 18:06:37,0:44,201266,1260,90,1152,1
32,Easter Baking - PASTEL LEMON MERINGUES,53Rek9a9DgU,www.youtube.com/watch?v=53Rek9a9DgU,AmazingPhil,2017-04-13 11:53:27,15:35,1135707,155496,1015,29553,1
33,Google just killed Burger King's newest TV ad that had a disastrous flaw,t7Krn-DH3tw,www.youtube.com/watch?v=t7Krn-DH3tw,Business Insider,2017-04-13 08:31:07,1:31,1406342,18386,1362,2799,1
34,"Chris ""Ludacris"" Bridges On His CGI Abs  - CONAN on TBS",0iLNva_qPvY,www.youtube.com/watch?v=0iLNva_qPvY,Team Coco,2017-04-12 22:11:38,2:41,279861,3883,204,437,1
35,Kunal Nayyar Meets the Queen,5-Bo4Ddkj5o,www.youtube.com/watch?v=5-Bo4Ddkj5o,TheEllenShow,2017-04-13 12:01:00,4:45,472603,8878,190,1062,1
36,KUWTK | Kim Kardashian West Learns About Kanye's Downward Spiral | E!,W6dgqgoSDFY,www.youtube.com/watch?v=W6dgqgoSDFY,E! Entertainment,2017-04-13 14:00:02,1:15,117548,1032,1604,717,0
37,Furless Tickle Me Elmo for Tinkering Activity,gg5VSUOlBxA,www.youtube.com/watch?v=gg5VSUOlBxA,Canada Science and Technology Museum,2017-04-13 13:03:21,0:14,27619,1062,36,207,0
38,Dear White People | Official Trailer [HD] | Netflix,oYKgHvPVACE,www.youtube.com/watch?v=oYKgHvPVACE,Netflix US & Canada,2017-04-13 11:59:50,2:19,424027,7967,14945,5837,1
39,Jay Pharoah Reveals Why He Was Fired From SNL & Remembers Charlie Murphy,4Zj0UuBy4RI,www.youtube.com/watch?v=4Zj0UuBy4RI,HOT 97,2017-04-13 17:19:58,38:11,93520,1363,116,601,0
40,WHY I TATTOOED MY ENTIRE BODY.,hb-Ljy_dJbU,www.youtube.com/watch?v=hb-Ljy_dJbU,Liza Koshy,2017-04-13 17:24:14,4:51,3007553,375733,2120,23511,0
