,Unnamed: 0,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,0,WHY I TATTOOED MY ENTIRE BODY.,hb-Ljy_dJbU,www.youtube.com/watch?v=hb-Ljy_dJbU,Liza Koshy,2017-04-13 17:24:14,4:51,3522345,413282,4723,25332,1
1,1,KUWTK | Kim Kardashian West Learns About Kanye's Downward Spiral | E!,W6dgqgoSDFY,www.youtube.com/watch?v=W6dgqgoSDFY,E! Entertainment,2017-04-13 14:00:02,1:15,365889,1938,7137,2198,1
2,2,Jay Pharoah Reveals Why He Was Fired From SNL & Remembers Charlie Murphy,4Zj0UuBy4RI,www.youtube.com/watch?v=4Zj0UuBy4RI,HOT 97,2017-04-13 17:19:58,38:11,232316,2184,234,1002,1
3,3,Star Wars: The Last Jedi Official Teaser,zB4I68XVPzQ,www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars,2017-04-14 11:56:13,2:13,17182875,382206,13091,58977,1
4,4,Chris Brown - Privacy (Explicit Version),Fq0xEpRDL9Q,www.youtube.com/watch?v=Fq0xEpRDL9Q,ChrisBrownVEVO,2017-04-14 10:00:01,3:41,2197062,120810,5020,12738,1
5,5,Drone footage shows MOAB drop in Afghanistan,MZ8j4QlYcYk,www.youtube.com/watch?v=MZ8j4QlYcYk,USA TODAY,2017-04-14 08:00:19,0:36,1114638,6843,1062,5238,1
6,6,Loud YouTubers,r5bu3RFna2Y,www.youtube.com/watch?v=r5bu3RFna2Y,jacksfilms,2017-04-13 18:55:18,1:07,689818,84860,442,9887,1
7,7,Sourcefed. Where are they now?,bEBGXyGrOkc,www.youtube.com/watch?v=bEBGXyGrOkc,StevenSuptic,2017-04-14 11:00:04,9:07,213672,13785,340,1513,1
8,8,"FAN REACTION: ""The Last Jedi"" trailer debuts at Star Wars Celebration 2017 in Orlando",LRZ4A2tXyj8,www.youtube.com/watch?v=LRZ4A2tXyj8,Inside the Magic,2017-04-14 12:34:44,4:53,393533,6932,304,1297,1
9,9,Chris Stapleton - Broken Halos (Audio),sI0TeFf6uD8,www.youtube.com/watch?v=sI0TeFf6uD8,ChrisStapletonVEVO,2017-04-14 00:00:03,3:01,119054,4261,64,240,1
10,10,Michael Ray - Think A Little Less (Home Free Cover) [OFFICIAL VIDEO],-uai6ZvEw6c,www.youtube.com/watch?v=-uai6ZvEw6c,Home Free,2017-04-14 10:35:44,3:51,120352,4322,56,615,1
