,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
0,Российские военные показали последствия ударов США по базе Шайрат: кадры с воздуха,oKtJjPypT7I,www.youtube.com/watch?v=oKtJjPypT7I,Телеканал ЗВЕЗДА,2017-04-07 06:20:53,69,1600936,3199,2045,,1
1,[OFFICIAL VIDEO] Bohemian Rhapsody – Pentatonix,ojRj2JK5oCI,www.youtube.com/watch?v=ojRj2JK5oCI,PTXofficial,2017-04-07 09:59:43,392,2699477,266249,5988,26150.0,1
2,Jimmy Kimmel's Tribute to Don Rickles,6Fpcf0HcCgU,www.youtube.com/watch?v=6Fpcf0HcCgU,Jimmy Kimmel Live,2017-04-07 00:30:53,757,981478,15278,484,2014.0,1
3,What To Know About The U.S. Missile Attack On Syria | TIME,L-ve3JMogm8,www.youtube.com/watch?v=L-ve3JMogm8,TIME,2017-04-07 10:53:59,73,464509,2724,901,3028.0,1
4,"The Alex Jones Show - Trump Strikes Syria, Will Russia Respond? - 04/07/2017",lIKu2tDcnb0,www.youtube.com/watch?v=lIKu2tDcnb0,The Alex Jones Channel,2017-04-07 16:31:44,15200,312929,4977,4869,3140.0,1
5,Harry Styles - Sign of the Times (Audio),z0GKGpObgPY,www.youtube.com/watch?v=z0GKGpObgPY,HarryStylesVEVO,2017-04-07 03:00:03,342,6171750,660378,8614,101411.0,1
6,Syria's war: Who is fighting and why [Updated],JFpanWNgfQY,www.youtube.com/watch?v=JFpanWNgfQY,Vox,2017-04-07 10:21:58,406,697096,26296,1305,,1
7,Will It Egg Roll? Taste Test,F6xUm-lo28A,www.youtube.com/watch?v=F6xUm-lo28A,Good Mythical Morning,2017-04-07 06:00:00,714,1051686,42287,562,7796.0,1
8,Morgan Freeman Re-Enacts The Shawshank Redemption | The Graham Norton Show,IPXeiS1tzr4,www.youtube.com/watch?v=IPXeiS1tzr4,The Graham Norton Show,2017-04-07 13:36:12,197,468234,12284,109,879.0,1
9,Syrian survivor to Trump: Thank you,s3uaf1NFxXc,www.youtube.com/watch?v=s3uaf1NFxXc,CNN,2017-04-07 16:16:56,200,754929,14639,1519,5830.0,1
10,ADULTS REACT TO IT TRAILER,qXf0dOE5ZRo,www.youtube.com/watch?v=qXf0dOE5ZRo,FBE,2017-04-07 17:00:02,525,784154,36274,602,6422.0,1
11,New Rule: What Would a Dick Do? | Real Time with Bill Maher (HBO),P2QXMGYluzo,www.youtube.com/watch?v=P2QXMGYluzo,Real Time with Bill Maher,2017-04-08 02:06:02,324,913590,17140,3254,,1
12,WHERE THE HELL IS MARKIPLIER?!,r44OLqK9L28,www.youtube.com/watch?v=r44OLqK9L28,Markiplier,2017-04-07 19:01:20,65,1095941,75539,1201,11780.0,1
13,"Dear YouTube, You Need To Watch This.",6if2ZOY3gQY,www.youtube.com/watch?v=6if2ZOY3gQY,DOSEofFOUSEY,2017-04-08 08:00:01,960,938201,97063,10427,20212.0,1
14,Louis C.K. Stand-Up Monologue - SNL,4Lsa7N7LHJk,www.youtube.com/watch?v=4Lsa7N7LHJk,Saturday Night Live,2017-04-09 01:00:00,586,1265253,17114,1178,,1
15,UFC 210: Post-fight Press Conference,iGkg4RENSuw,www.youtube.com/watch?v=iGkg4RENSuw,UFC - Ultimate Fighting Championship,2017-04-09 03:09:44,5305,390284,3101,293,1307.0,1
16,Donald Trump at the Mine Cold Open - SNL,CL7kenX3Vu8,www.youtube.com/watch?v=CL7kenX3Vu8,Saturday Night Live,2017-04-09 02:31:42,327,2180823,23096,2469,,1
17,Chris Weidman vs. Gegard Mousasi | UFC 210 HIGHLIGHTS,qRl98IVP92Y,www.youtube.com/watch?v=qRl98IVP92Y,UFC ON FOX,2017-04-09 02:04:36,231,222923,876,146,529.0,1
18,The O'Reilly Factor with Donald Trump - SNL,7yq2CXkrZpo,www.youtube.com/watch?v=7yq2CXkrZpo,Saturday Night Live,2017-04-09 01:18:51,306,4191987,32844,5504,,1
19,Strange man opens a lot of boxes - Bad Unboxing Fan Mail,Nrn8aTlT194,www.youtube.com/watch?v=Nrn8aTlT194,iDubbbzTV,2017-04-08 16:00:01,586,1999175,139149,2635,17258.0,1
20,"Found Lost iPhone, Fishing Pole and Swimbaits Underwater in River! (Scuba Diving)",dPTglkp4Lpw,www.youtube.com/watch?v=dPTglkp4Lpw,DALLMYD,2017-04-08 22:42:10,823,1757937,100420,1425,11002.0,1
21,DIY GIANT KFC DRUMSTICK *DO NOT ATTEMPT*,7LVo3UUMu0k,www.youtube.com/watch?v=7LVo3UUMu0k,HellthyJunkFood,2017-04-09 09:00:00,664,460329,11911,2294,,1
22,"$2 Pizza Vs. $2,000 Pizza • New York City",bcdJgjNDsto,www.youtube.com/watch?v=bcdJgjNDsto,BuzzFeedVideo,2017-04-09 11:00:09,946,4852628,140507,4477,31995.0,1
23,SCARY INSTANT FIRE NOODLE CHALLENGE!!! (EXTREMELY SPICY 🔥),bmSvyfWqUC4,www.youtube.com/watch?v=bmSvyfWqUC4,DavidParodyPlays,2017-04-08 19:00:02,358,301205,31327,364,3678.0,1
24,What's inside a Kookaburra Cricket Ball?,ebab3e15Nug,www.youtube.com/watch?v=ebab3e15Nug,What's Inside?,2017-04-09 10:00:03,574,383659,8020,918,2989.0,1
25,Gerrymandering: Last Week Tonight with John Oliver (HBO),A-4dIImaodQ,www.youtube.com/watch?v=A-4dIImaodQ,LastWeekTonight,2017-04-10 02:30:00,1174,2487819,59219,2305,8795.0,1
26,John Oliver Ad on ‘The O’Reilly Factor’ to Educate Donald Trump,dDRvTipbeqw,www.youtube.com/watch?v=dDRvTipbeqw,WorldWide,2017-04-10 01:00:14,97,418625,4106,1527,1282.0,1
27,Anne Hathaway & Jason Sudeikis Answer the Web's Most Searched Questions | WIRED,eMg33JC5NUI,www.youtube.com/watch?v=eMg33JC5NUI,WIRED,2017-04-10 06:00:54,430,971175,15191,612,,1
28,I Tried The Diva Cup,Azv9r2e97xo,www.youtube.com/watch?v=Azv9r2e97xo,Safiya Nygaard,2017-04-09 17:36:46,789,957183,47912,550,9256.0,1
29,3 Cool Gadgets Under $10,pLaOzEapKAw,www.youtube.com/watch?v=pLaOzEapKAw,Unbox Therapy,2017-04-09 15:30:20,421,1668076,57739,1381,4451.0,1
30,How to sound smarter without actually being smarter: Pause,GVziJ36gjys,www.youtube.com/watch?v=GVziJ36gjys,The Package Boy,2017-04-09 15:12:16,55,139297,1929,291,303.0,1
31,"Chinese Farmers Market Tour in Szechuan, China |  BEST Street Food + SPICY Szechuan Sauce in China",V9FpUSigyX8,www.youtube.com/watch?v=V9FpUSigyX8,The Food Ranger,2017-04-09 22:00:11,992,198733,7059,129,2924.0,1
